序號,機關代碼,機關名稱,網站名稱,網址,標章等級,登錄日期,標章狀態
2673,397150000I,高雄市政府環境保護局,高雄市推動河川揚塵防制宣導,http://kcg.riverdust.org,AA,109/6/4,啟用
2674,382350000A,新北市政府客家事務局,新北市客家觀光美食館,http://www.hakka-cuisine.ntpc.gov.tw,A,109/6/5,啟用
2675,379590000E,臺北市政府文化局,臺北市政府文化局 Department of Cultural Affairs,https://english.culture.gov.taipei,A,109/6/5,啟用
2676,315000000H,交通部,交通安全入口網,https://168.motc.gov.tw/,AA,109/6/5,啟用
2677,379053000V,臺北市立大安高級工業職業學校,臺北市立大安高級工業職業學校,https://www.taivs.tp.edu.tw/,AA,109/6/5,啟用
2678,382350000A,新北市政府客家事務局,新北市客家社團館,http://www.hakka-associations.ntpc.gov.tw,A,109/6/8,啟用
2679,382350000A,新北市政府客家事務局,新北市客家語文館,http://www.hakka-language.ntpc.gov.tw,A,109/6/8,啟用
2680,376589750Y,新竹市香山區茄苳國民小學,新竹市香山區茄苳國民小學校網,https://www.cdps.hc.edu.tw/,AA,109/6/8,啟用
2681,379020000A,臺北市政府民政局,臺北市政府民政局 拜拜減碳神明稱讚,https://reduce-co2.civil.taipei/,A,109/6/8,啟用
2682,0,民間團體,台灣Pay,https://accessible.taiwanpay.com.tw,A,109/6/8,啟用
2683,383150000I,高雄市政府環境保護局,高雄市政府環境保護局【高雄市營建工程空氣污染防制費徵收查核及巡查管制專屬網頁】,http://211.72.89.61,AA,109/6/8,啟用
2684,313200300G,經濟部水利署南區水資源局,經濟部水利署南區水資源局全球資訊網,https://www.wrasb.gov.tw,AA,109/6/9,啟用
2685,0,民間團體,新南向科研合作專網,https://nsstc.narlabs.org.tw/NSTC/,A,109/6/9,啟用
2686,379043200E,臺北市家庭教育中心,臺北市家庭教育中心,https://www.family.gov.taipei/,AA,109/6/9,啟用
2687,387162900A,臺中市大甲地政事務所,臺中市大甲地政事務所,https://dajialand.land.taichung.gov.tw/,A,109/6/9,啟用
2688,376600000A,嘉義市政府,嘉義市政府社會處,https://social.chiayi.gov.tw/,A,109/6/9,啟用
2689,376600000A,嘉義市政府,嘉義市政府建設處,https://economic.chiayi.gov.tw/,A,109/6/9,啟用
2690,382162400A,新北市新店地政事務所,新北市新店地政事務所,https://www.xindian.land.ntpc.gov.tw/,A,109/6/9,啟用
2691,0,民間團體,日盛證券金融友善服務專區,https://jsmarket.jihsun.com.tw/barrier-free/map.htm,A,109/6/9,啟用
2692,0,民間團體,泰山體育園區,http://tssp.wdygsports.com.tw/,A,109/6/10,啟用
2693,397030500D,高雄市稅捐稽徵處,高雄市稅捐稽徵處,https://www.kctax.gov.tw,AA,109/6/10,啟用
2694,382140000I,新北市政府衛生局,新北敬老眼鏡專區,https://vision.ntpc.gov.tw/,AA,109/6/10,啟用
2695,A09050000E,國家圖書館,古籍與特藏文獻資源,http://rbook.ncl.edu.tw/NCLSearch,A,109/6/10,啟用
2696,0,民間團體,兆豐銀行網路銀行友善專區,https://handicap-free.megabank.com.tw/acc/,AA,109/6/10,啟用
2697,0,民間團體,仁愛醫療財團法人全球資訊網,https://jah-bef.jah.org.tw,A,109/6/10,啟用
2698,380220000A,桃園市政府研究發展考核委員會,施政成果透明資訊網,https://reiso.tycg.gov.tw/,A,109/6/10,啟用
2699,A11042500F,法務部矯正署八德外役監獄,法務部矯正署八德外役監獄,https://www.bdo.moj.gov.tw/,A,109/6/10,啟用
2700,395630000A,臺南市善化區公所,臺南市善化區公所,http://www.shanhua.gov.tw/,AA,109/6/11,啟用
2701,A11102200F,臺灣宜蘭地方檢察署,臺灣宜蘭地方檢察署,https://www.ilc.moj.gov.tw,A,109/6/11,啟用
2702,382160000A,新北市政府地政局,新北市政府地政局中文網,https://www.land.ntpc.gov.tw/,A,109/6/11,啟用
2703,397150000I,高雄市政府環境保護局,高雄市環境保護局柴油車排煙檢測站,https://www.khepa.tw/car/,AA,109/6/11,啟用
2704,397026800A,高雄市新興戶政事務所,高雄市新興戶政事務所,https://sinsing-house.kcg.gov.tw,AA,109/6/12,啟用
2705,345040000G,行政院農業委員會林務局,行政院農業委員會林務局政風室全球資訊網,http://ethics.forest.gov.tw/,AA,109/6/12,啟用
2706,380055300X,桃園市立桃園國民中學,桃園市立桃園國民中學,http://www.tyjh.tyc.edu.tw,AA,109/6/12,啟用
2707,A11043800F,法務部矯正署南投看守所,法務部矯正署南投看守所,https://www.ntd.moj.gov.tw/,A,109/6/12,啟用
2708,A21003800P,衛生福利部南投醫院,衛生福利部南投醫院官方網站,https://www.nant.mohw.gov.tw/,AA,109/6/12,啟用
2709,345040600G,行政院農業委員會林務局屏東林區管理處,行政院農業委員會林務局屏東林區管理處全球資訊網,http://pingtung.forest.gov.tw,AA,109/6/12,啟用
2710,A25000000E,文化部,文化部所屬中正紀念堂民國十五年前之蔣介石先生,https://ebooks.cksmh.gov.tw,AA,109/6/12,啟用
2711,A25000000E,文化部,文化部所屬傳藝中心憨子弟‧瘋亂彈─臺灣北管藝術大展,https://beiguan.ncfta.gov.tw,AA,109/6/12,啟用
2712,387290000H,臺中市政府交通局,臺中市政府交通局,https://www.traffic.taichung.gov.tw/,AA,109/6/15,啟用
2713,345040300G,行政院農業委員會林務局東勢林區管理處,行政院農業委員會林務局東勢林區管理處全球資訊網,https://dongshih.forest.gov.tw/,AA,109/6/16,啟用
2714,A09000100E,國立臺灣藝術教育館,國立臺灣藝術教育館全國學生圖畫書創作獎,https://web.arte.gov.tw/painting,A,109/6/16,啟用
2715,345040200G,行政院農業委員會林務局新竹林區管理處,行政院農業委員會林務局新竹林區管理處全球資訊網,https://hsinchu.forest.gov.tw,AA,109/6/16,啟用
2716,379740000E,臺北市政府體育局,臺北市政府體育局場地租借系統,https://sports.tms.gov.tw/,A,109/6/16,啟用
2717,382130000C,新北市政府警察局,新北市政府社區治安諮詢服務網,https://community.ntpd.gov.tw,AA,109/6/16,啟用
2718,345040400G,行政院農業委員會林務局南投林區管理處,行政院農業委員會林務局南投林區管理處全球資訊網,https://nantou.forest.gov.tw/,AA,109/6/16,啟用
2719,306010100P,國軍桃園總醫院,國軍新竹地區醫院,https://813.mnd.gov.tw,AA,109/6/16,啟用
2720,397240200J,高雄市政府勞工局博愛職業技能訓練中心,高雄市政府勞工局博愛職業技能訓練中心 ,https://poai.kcg.gov.tw/,AA,109/6/16,啟用
2721,397240100J,高雄市政府勞工局訓練就業中心,前鎮就業服務站 (高雄市政府勞工局訓練就業中心),http://kcj.ktec.gov.tw/,A,109/6/17,啟用
2722,380530000A,桃園市平鎮區公所,桃園市平鎮區公所,https://www.pingzhen.tycg.gov.tw,A,109/6/17,啟用
2723,313020000G,經濟部工業局,5G+產業新星揚帆啟航計畫網站,https://www.5g-jump.org.tw/zh-tw,A,109/6/17,啟用
2724,0,民間團體,朕豪大酒店股份有限公司高雄萬豪酒店官方網站,https://www.khhmarriott.com/,A,109/6/18,啟用
2725,3765899526,新竹市立新竹幼兒園,新竹市立新竹幼兒園,https://www.hckd.hc.edu.tw,AA,109/6/18,啟用
2726,379590800E,臺北市立文獻館,臺北文獻期刊目錄查詢系統,https://chr.thdq.gov.taipei/chr-periodical/introduction.asp,AA,109/6/18,啟用
2727,379020000A,臺北市政府民政局,臺北市政府民政局 林安泰古厝民俗文物館,https://linantai.taipei,A,109/6/18,啟用
2728,A25000000E,文化部,文化部部長信箱,https://contactus.moc.gov.tw/swsfront35/,AA,109/6/19,啟用
2729,380162700A,桃園市龜山地政事務所,桃園市龜山地政事務所,https://www.guishan-land.tycg.gov.tw/,A,109/6/19,啟用
2730,395680000A,臺南市下營區公所,臺南市下營區公所,https://web.tainan.gov.tw/xiaying,AA,109/6/19,啟用
2731,310902800Q,嘉南藥理科技大學,嘉南藥理大學學生輔導中心,http://www.scc.sao.cnu.edu.tw/,A,109/6/19,啟用
2732,A11040700F,法務部矯正署彰化監獄,法務部矯正署彰化監獄,https://www.chp.moj.gov.tw/,A,109/6/20,啟用
2733,376540000A,臺東縣政府,臺東縣原住民文化創意產業聚落,https://tticc.taitung.gov.tw/,AA,109/6/20,啟用
2734,381000000A,臺北市議會,臺北市議會圖書館,http://library.tcc.gov.tw/,A,109/6/20,啟用
2735,315860300M,臺灣港務股份有限公司高雄港務分公司,高雄港過港隧道資訊網,https://tunnel2.twport.com.tw/,AA,109/6/20,啟用
2736,387020000A,臺中市政府民政局,臺中市政府民政局 臺中市政府宗教管理地圖,https://religion.taichung.gov.tw/religion/Web/,AA,109/6/20,啟用
2737,397240100J,高雄市政府勞工局訓練就業中心,三民就業服務站 (高雄市政府勞工局訓練就業中心),http://ksm.ktec.gov.tw/,A,109/6/22,啟用
2738,313310000K,台灣電力股份有限公司,台灣電力公司區處對外服務網站,https://branch.taipower.com.tw/,A,109/6/22,啟用
2739,0,民間團體,彰化縣輔具資源中心,http://www.chcgat.org.tw/,A,109/6/22,啟用
2740,A11043400F,法務部矯正署新竹看守所,法務部矯正署新竹看守所,https://www.scd.moj.gov.tw/,A,109/6/22,啟用
2741,310900900Q,長庚大學,長庚大學,http://www.cgu.edu.tw,AA,109/6/22,啟用
2742,379710000A,臺北市政府兵役局,臺北市政府兵役局中文網站,https://docms.gov.taipei/,A,109/6/22,啟用
